time,value
2021-01-01T01:00,20574
2021-01-01T02:00,20998
2021-01-01T03:00,21401
2021-01-01T04:00,21657
2021-01-01T05:00,22118
2021-01-01T06:00,23208
2021-01-01T07:00,24350
2021-01-01T08:00,25246
2021-01-01T09:00,25712
2021-01-01T10:00,25778
2021-01-01T11:00,26278
2021-01-01T12:00,26528
2021-01-01T13:00,26498
2021-01-01T14:00,26326
2021-01-01T15:00,26268
2021-01-01T16:00,25899
2021-01-01T17:00,25030
2021-01-01T18:00,23117
2021-01-01T19:00,22109
2021-01-01T20:00,21707
2021-01-01T21:00,21156
2021-01-01T22:00,20758
2021-01-01T23:00,20489
2021-01-02T00:00,20341
2021-01-02T01:00,20439
2021-01-02T02:00,20616
2021-01-02T03:00,20876
2021-01-02T04:00,21131
2021-01-02T05:00,21529
2021-01-02T06:00,22253
2021-01-02T07:00,22993
2021-01-02T08:00,23990
2021-01-02T09:00,24804
2021-01-02T10:00,25394
2021-01-02T11:00,25795
2021-01-02T12:00,26000
2021-01-02T13:00,25840
2021-01-02T14:00,25629
2021-01-02T15:00,25490
2021-01-02T16:00,25058
2021-01-02T17:00,24080
2021-01-02T18:00,22184
2021-01-02T19:00,21167
2021-01-02T20:00,20551
2021-01-02T21:00,20156
2021-01-02T22:00,19804
2021-01-02T23:00,19548
2021-01-03T00:00,19417
2021-01-03T01:00,19377
2021-01-03T02:00,19622
2021-01-03T03:00,19815
2021-01-03T04:00,19979
2021-01-03T05:00,20379
2021-01-03T06:00,20904
2021-01-03T07:00,21523
2021-01-03T08:00,22192
2021-01-03T09:00,22829
2021-01-03T10:00,22681
2021-01-03T11:00,23020
2021-01-03T12:00,23118
2021-01-03T13:00,23036
2021-01-03T14:00,22878
2021-01-03T15:00,23031
2021-01-03T16:00,23242
2021-01-03T17:00,22912
2021-01-03T18:00,22298
2021-01-03T19:00,22103
2021-01-03T20:00,22094
2021-01-03T21:00,21562
2021-01-03T22:00,20966
2021-01-03T23:00,20488
2021-01-04T00:00,23087
2021-01-04T01:00,23261
2021-01-04T02:00,23600
2021-01-04T03:00,24068
2021-01-04T04:00,25159
2021-01-04T05:00,25781
2021-01-04T06:00,27731
2021-01-04T07:00,30149
2021-01-04T08:00,31604
2021-01-04T09:00,32127
2021-01-04T10:00,32504
2021-01-04T11:00,32954
2021-01-04T12:00,33054
2021-01-04T13:00,32522
2021-01-04T14:00,32138
2021-01-04T15:00,31446
2021-01-04T16:00,30321
2021-01-04T17:00,28036
2021-01-04T18:00,26696
2021-01-04T19:00,26083
2021-01-04T20:00,25593
2021-01-04T21:00,24921
2021-01-04T22:00,24208
2021-01-04T23:00,23793
2021-01-05T00:00,23754
2021-01-05T01:00,23789
2021-01-05T02:00,24108
2021-01-05T03:00,24521
2021-01-05T04:00,24642
2021-01-05T05:00,25135
2021-01-05T06:00,26750
2021-01-05T07:00,28282
2021-01-05T08:00,29535
2021-01-05T09:00,30055
2021-01-05T10:00,30380
2021-01-05T11:00,30193
2021-01-05T12:00,30095
2021-01-05T13:00,29666
2021-01-05T14:00,29171
2021-01-05T15:00,28732
2021-01-05T16:00,28253
2021-01-05T17:00,27657
2021-01-05T18:00,27043
2021-01-05T19:00,26681
2021-01-05T20:00,26340
2021-01-05T21:00,25710
2021-01-05T22:00,25237
2021-01-05T23:00,24547
2021-01-06T00:00,24299
2021-01-06T01:00,24495
2021-01-06T02:00,24813
2021-01-06T03:00,25034
2021-01-06T04:00,26368
2021-01-06T05:00,26938
2021-01-06T06:00,28520
2021-01-06T07:00,29773
2021-01-06T08:00,30714
2021-01-06T09:00,31723
2021-01-06T10:00,32452
2021-01-06T11:00,32483
2021-01-06T12:00,32203
2021-01-06T13:00,31537
2021-01-06T14:00,30828
2021-01-06T15:00,30289
2021-01-06T16:00,29577
2021-01-06T17:00,28588
2021-01-06T18:00,27788
2021-01-06T19:00,27391
2021-01-06T20:00,26871
2021-01-06T21:00,25979
2021-01-06T22:00,25441
2021-01-06T23:00,25203
2021-01-07T00:00,25124
2021-01-07T01:00,24893
2021-01-07T02:00,24954
2021-01-07T03:00,25130
2021-01-07T04:00,25717
2021-01-07T05:00,26309
2021-01-07T06:00,27886
2021-01-07T07:00,29998
2021-01-07T08:00,31670
2021-01-07T09:00,32577
2021-01-07T10:00,32801
2021-01-07T11:00,33059
2021-01-07T12:00,33060
2021-01-07T13:00,32893
2021-01-07T14:00,32493
2021-01-07T15:00,31800
2021-01-07T16:00,30685
2021-01-07T17:00,32100
2021-01-07T18:00,30943
2021-01-07T19:00,30034
2021-01-07T20:00,29295
2021-01-07T21:00,28537
2021-01-07T22:00,27845
2021-01-07T23:00,27174
2021-01-08T00:00,26780
2021-01-08T01:00,26763
2021-01-08T02:00,26970
2021-01-08T03:00,27346
2021-01-08T04:00,28391
2021-01-08T05:00,28972
2021-01-08T06:00,30812
2021-01-08T07:00,32837
2021-01-08T08:00,34530
2021-01-08T09:00,35443
2021-01-08T10:00,36069
2021-01-08T11:00,36206
2021-01-08T12:00,36091
2021-01-08T13:00,33123
2021-01-08T14:00,31791
2021-01-08T15:00,31133
2021-01-08T16:00,29901
2021-01-08T17:00,28127
2021-01-08T18:00,26810
2021-01-08T19:00,26092
2021-01-08T20:00,25367
2021-01-08T21:00,24484
2021-01-08T22:00,23974
2021-01-08T23:00,23494
2021-01-09T00:00,22497
2021-01-09T01:00,22343
2021-01-09T02:00,22447
2021-01-09T03:00,22804
2021-01-09T04:00,23267
2021-01-09T05:00,23507
2021-01-09T06:00,24326
2021-01-09T07:00,24678
2021-01-09T08:00,25517
2021-01-09T09:00,26398
2021-01-09T10:00,27092
2021-01-09T11:00,27448
2021-01-09T12:00,27473
2021-01-09T13:00,27229
2021-01-09T14:00,26471
2021-01-09T15:00,25684
2021-01-09T16:00,25145
2021-01-09T17:00,24719
2021-01-09T18:00,23887
2021-01-09T19:00,23489
2021-01-09T20:00,23364
2021-01-09T21:00,22827
2021-01-09T22:00,22580
2021-01-09T23:00,22400
2021-01-10T00:00,22244
2021-01-10T01:00,22483
2021-01-10T02:00,22692
2021-01-10T03:00,22882
2021-01-10T04:00,23345
2021-01-10T05:00,23850
2021-01-10T06:00,24610
2021-01-10T07:00,25397
2021-01-10T08:00,26073
2021-01-10T09:00,26811
2021-01-10T10:00,27521
2021-01-10T11:00,28188
2021-01-10T12:00,28317
2021-01-10T13:00,28589
2021-01-10T14:00,28274
2021-01-10T15:00,28002
2021-01-10T16:00,27082
2021-01-10T17:00,25481
2021-01-10T18:00,24327
2021-01-10T19:00,23983
2021-01-10T20:00,23535
2021-01-10T21:00,23298
2021-01-10T22:00,23043
2021-01-10T23:00,22175
2021-01-11T00:00,22671
2021-01-11T01:00,23047
2021-01-11T02:00,23394
2021-01-11T03:00,23678
2021-01-11T04:00,24409
2021-01-11T05:00,25720
2021-01-11T06:00,27387
2021-01-11T07:00,29225
2021-01-11T08:00,30843
2021-01-11T09:00,31285
2021-01-11T10:00,31923
2021-01-11T11:00,32305
2021-01-11T12:00,32442
2021-01-11T13:00,32285
2021-01-11T14:00,32077
2021-01-11T15:00,31419
2021-01-11T16:00,30182
2021-01-11T17:00,28245
2021-01-11T18:00,26898
2021-01-11T19:00,26201
2021-01-11T20:00,25692
2021-01-11T21:00,25204
2021-01-11T22:00,24902
2021-01-11T23:00,24269
2021-01-12T00:00,24334
2021-01-12T01:00,24701
2021-01-12T02:00,24981
2021-01-12T03:00,25400
2021-01-12T04:00,25742
2021-01-12T05:00,26350
2021-01-12T06:00,28292
2021-01-12T07:00,30122
2021-01-12T08:00,31662
2021-01-12T09:00,32413
2021-01-12T10:00,32789
2021-01-12T11:00,33253
2021-01-12T12:00,33436
2021-01-12T13:00,33093
2021-01-12T14:00,32619
2021-01-12T15:00,31912
2021-01-12T16:00,30740
2021-01-12T17:00,28800
2021-01-12T18:00,27205
2021-01-12T19:00,26511
2021-01-12T20:00,25728
2021-01-12T21:00,25238
2021-01-12T22:00,24674
2021-01-12T23:00,23969
2021-01-13T00:00,23695
2021-01-13T01:00,23852
2021-01-13T02:00,24146
2021-01-13T03:00,24450
2021-01-13T04:00,24914
2021-01-13T05:00,25587
2021-01-13T06:00,27623
2021-01-13T07:00,29896
2021-01-13T08:00,31511
2021-01-13T09:00,32429
2021-01-13T10:00,32947
2021-01-13T11:00,33261
2021-01-13T12:00,33182
2021-01-13T13:00,32964
2021-01-13T14:00,32459
2021-01-13T15:00,31693
2021-01-13T16:00,30726
2021-01-13T17:00,28880
2021-01-13T18:00,27646
2021-01-13T19:00,26956
2021-01-13T20:00,26308
2021-01-13T21:00,25629
