time,value
2020-12-31T23:00:00,14464.89664
2021-01-01T00:00:00,14609.4088
2021-01-01T01:00:00,14682.10512
2021-01-01T02:00:00,14731.54736
2021-01-01T03:00:00,14750.5856
2021-01-01T04:00:00,14717.53168
2021-01-01T05:00:00,14401.68112
2021-01-01T06:00:00,13398.21168
2021-01-01T07:00:00,11693.32416
2021-01-01T08:00:00,10483.78864
2021-01-01T09:00:00,9543.36032
2021-01-01T10:00:00,8694.63952
2021-01-01T11:00:00,8192.99824
2021-01-01T12:00:00,7872.32928
2021-01-01T13:00:00,7859.9408
2021-01-01T14:00:00,7971.69392
2021-01-01T15:00:00,8342.62464
2021-01-01T16:00:00,9084.86704
2021-01-01T17:00:00,9775.18192
2021-01-01T18:00:00,10440.68032
2021-01-01T19:00:00,11011.77232
2021-01-01T20:00:00,11659.26896
2021-01-01T21:00:00,12130.36576
2021-01-01T22:00:00,12435.7272
2021-01-01T23:00:00,12338.86064
2021-01-02T00:00:00,12431.9448
2021-01-02T01:00:00,12477.22128
2021-01-02T02:00:00,12509.50976
2021-01-02T03:00:00,12520.6168
2021-01-02T04:00:00,12490.23184
2021-01-02T05:00:00,12253.43616
2021-01-02T06:00:00,11577.54448
2021-01-02T07:00:00,10447.82464
2021-01-02T08:00:00,9659.75504
2021-01-02T09:00:00,9110.08272
2021-01-02T10:00:00,8605.44176
2021-01-02T11:00:00,8286.19456
2021-01-02T12:00:00,8057.56128
2021-01-02T13:00:00,8065.39168
2021-01-02T14:00:00,8248.54688
2021-01-02T15:00:00,8601.672
2021-01-02T16:00:00,9091.39456
2021-01-02T17:00:00,9526.59232
2021-01-02T18:00:00,9993.864
2021-01-02T19:00:00,10646.53024
2021-01-02T20:00:00,11311.21312
2021-01-02T21:00:00,11836.84752
2021-01-02T22:00:00,12164.86432
2021-01-02T23:00:00,12338.86064
2021-01-03T00:00:00,12431.9448
2021-01-03T01:00:00,12477.22128
2021-01-03T02:00:00,12509.50976
2021-01-03T03:00:00,12520.6168
2021-01-03T04:00:00,12490.23184
2021-01-03T05:00:00,12253.43616
2021-01-03T06:00:00,11577.54448
2021-01-03T07:00:00,10447.82464
2021-01-03T08:00:00,9659.75504
2021-01-03T09:00:00,9110.08272
2021-01-03T10:00:00,8605.44176
2021-01-03T11:00:00,8286.19456
2021-01-03T12:00:00,8057.56128
2021-01-03T13:00:00,8065.39168
2021-01-03T14:00:00,8248.54688
2021-01-03T15:00:00,8601.672
2021-01-03T16:00:00,9091.39456
2021-01-03T17:00:00,9526.59232
2021-01-03T18:00:00,9993.864
2021-01-03T19:00:00,10646.53024
2021-01-03T20:00:00,11311.21312
2021-01-03T21:00:00,11836.84752
2021-01-03T22:00:00,12164.86432
2021-01-03T23:00:00,12338.86064
2021-01-04T00:00:00,12521.69808
2021-01-04T01:00:00,12576.03008
2021-01-04T02:00:00,12614.77616
2021-01-04T03:00:00,12628.10464
2021-01-04T04:00:00,12591.64256
2021-01-04T05:00:00,12307.48784
2021-01-04T06:00:00,11694.46176
2021-01-04T07:00:00,10998.89776
2021-01-04T08:00:00,10416.68032
2021-01-04T09:00:00,9890.57088
2021-01-04T10:00:00,9377.56768
2021-01-04T11:00:00,8994.47088
2021-01-04T12:00:00,8701.528
2021-01-04T13:00:00,8753.41568
2021-01-04T14:00:00,9065.32816
2021-01-04T15:00:00,9573.22704
2021-01-04T16:00:00,10244.16816
2021-01-04T17:00:00,10850.94832
2021-01-04T18:00:00,11489.39952
2021-01-04T19:00:00,12351.14128
2021-01-04T20:00:00,13191.64976
2021-01-04T21:00:00,13843.75008
2021-01-04T22:00:00,14244.50144
2021-01-04T23:00:00,14455.42128
2021-01-05T00:00:00,14595.6984
2021-01-05T01:00:00,14664.84752
2021-01-05T02:00:00,14711.7112
2021-01-05T03:00:00,14729.90384
2021-01-05T04:00:00,14699.55152
2021-01-05T05:00:00,14405.82304
2021-01-05T06:00:00,13470.97888
2021-01-05T07:00:00,11880.0864
2021-01-05T08:00:00,10749.55264
2021-01-05T09:00:00,9861.74544
2021-01-05T10:00:00,9056.17872
2021-01-05T11:00:00,8579.77168
2021-01-05T12:00:00,8274.7656
2021-01-05T13:00:00,8261.57984
2021-01-05T14:00:00,8347.29104
2021-01-05T15:00:00,8693.60528
